"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"hsa00620:Pyruvate metabolism"	0.111780650542119	1	143	40	1
"hsa05410:Hypertrophic cardiomyopathy (HCM)"	0.106292845664070	1	143	82	2
"hsa00071:Fatty acid metabolism"	0.106292845664070	1	143	41	1
"hsa04540:Gap junction"	0.0960829761235138	1	143	86	2
"hsa04640:Hematopoietic cell lineage"	0.0936772022662564	1	143	87	2
"hsa05414:Dilated cardiomyopathy"	0.0890278415533545	1	143	89	2
"hsa05322:Systemic lupus erythematosus"	0.0845828483443163	1	143	91	2
"hsa04930:Type II diabetes mellitus"	0.082432824455162	1	143	46	1
"hsa04672:Intestinal immune network for IgA production"	0.0704541199298736	1	143	49	1
"hsa04620:Toll-like receptor signaling pathway"	0.0649984723242968	1	143	101	2
"hsa00330:Arginine and proline metabolism"	0.0598575736190415	1	143	52	1
"hsa04060:Cytokine-cytokine receptor interaction"	0.0591944436455667	1	143	261	5
"hsa00230:Purine metabolism"	0.0576667264914856	1	143	158	3
"hsa00140:Steroid hormone biosynthesis"	0.0534473172087852	1	143	54	1
"hsa05217:Basal cell carcinoma"	0.0504170141784822	1	143	55	1
"hsa04340:Hedgehog signaling pathway"	0.0474949362564042	1	143	56	1
"hsa04142:Lysosome"	0.0367806505421185	1	143	120	2
"hsa05131:Shigellosis"	0.0367806505421185	1	143	60	1
"hsa04621:NOD-like receptor signaling pathway"	0.0367806505421185	1	143	60	1
"hsa05210:Colorectal cancer"	0.0319419408646992	1	143	62	1
"hsa00190:Oxidative phosphorylation"	0.0307806505421186	1	143	125	2
"hsa04530:Tight junction"	0.0252421890036570	1	143	130	2
"hsa05120:Epithelial cell signaling in Helicobacter pylori infection"	0.0252421890036570	1	143	65	1
"hsa04010:MAPK signaling pathway"	0.0236627798196850	1	143	263	4
"hsa04612:Antigen processing and presentation"	0.0231442869057549	1	143	66	1
"hsa04115:p53 signaling pathway"	0.0211090087510738	1	143	67	1
"hsa05100:Bacterial invasion of epithelial cells"	0.0191335917185891	1	143	68	1
"hsa04810:Regulation of actin cytoskeleton"	0.0165883428498108	1	143	208	3
"hsa05211:Renal cell carcinoma"	0.0153520791135472	1	143	70	1
"hsa05212:Pancreatic cancer"	0.0153520791135472	1	143	70	1
"hsa05416:Viral myocarditis"	0.0153520791135472	1	143	70	1
"hsa05220:Chronic myeloid leukemia"	0.0135412139224003	1	143	71	1
"hsa04622:RIG-I-like receptor signaling pathway"	0.0135412139224003	1	143	71	1
"hsa05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	0.0100683217749952	1	143	73	1
"hsa00564:Glycerophospholipid metabolism"	0.00840227216374011	1	143	74	1
"hsa04370:VEGF signaling pathway"	0.00678065054211858	1	143	75	1
"hsa04310:Wnt signaling pathway"	0.00678065054211858	1	143	150	2
"hsa04664:Fc epsilon RI signaling pathway"	0.00366376742523536	1	143	77	1
"hsa04141:Protein processing in endoplasmic reticulum"	0.00143033207078101	1	143	157	2
"hsa05200:Pathways in cancer"	-0.00141810722185673	1	143	322	4
"hsa05222:Small cell lung cancer"	-0.00607649231502433	1	143	84	1
"hsa04062:Chemokine signaling pathway"	-0.0164451559094944	1	143	186	2
"hsa04912:GnRH signaling pathway"	-0.0213826147640039	1	143	98	1
"hsa04670:Leukocyte transendothelial migration"	-0.0335733317587665	1	143	113	1
"hsa01100:Metabolic pathways"	-0.0384271056905685	1	143	1083	9
"hsa04110:Cell cycle"	-0.0394488576546028	1	143	122	1
"hsa04360:Axon guidance"	-0.0429068494578815	1	143	128	1
"hsa04080:Neuroactive ligand-receptor interaction"	-0.0463048513166176	1	143	269	2
"hsa04020:Calcium signaling pathway"	-0.0611962280705983	1	143	173	1
"hsa04144:Endocytosis"	-0.066827596880562	1	143	194	1
"hsa00983:Drug metabolism - other enzymes"	-0.113219349457881	1	143	50	0
"hsa05340:Primary immunodeficiency"	-0.113219349457881	1	143	33	0
"hsa04514:Cell adhesion molecules (CAMs)"	-0.113219349457881	1	143	131	0
"hsa04012:ErbB signaling pathway"	-0.113219349457881	1	143	87	0
"hsa04150:mTOR signaling pathway"	-0.113219349457881	1	143	51	0
"hsa04210:Apoptosis"	-0.113219349457881	1	143	87	0
"hsa04630:Jak-STAT signaling pathway"	-0.113219349457881	1	143	154	0
"hsa04660:T cell receptor signaling pathway"	-0.113219349457881	1	143	108	0
"hsa04662:B cell receptor signaling pathway"	-0.113219349457881	1	143	74	0
"hsa04666:Fc gamma R-mediated phagocytosis"	-0.113219349457881	1	143	91	0
"hsa04722:Neurotrophin signaling pathway"	-0.113219349457881	1	143	124	0
"hsa04910:Insulin signaling pathway"	-0.113219349457881	1	143	134	0
"hsa04914:Progesterone-mediated oocyte maturation"	-0.113219349457881	1	143	84	0
"hsa04920:Adipocytokine signaling pathway"	-0.113219349457881	1	143	67	0
"hsa05213:Endometrial cancer"	-0.113219349457881	1	143	52	0
"hsa05214:Glioma"	-0.113219349457881	1	143	63	0
"hsa05215:Prostate cancer"	-0.113219349457881	1	143	87	0
"hsa05218:Melanoma"	-0.113219349457881	1	143	68	0
"hsa05221:Acute myeloid leukemia"	-0.113219349457881	1	143	54	0
"hsa05223:Non-small cell lung cancer"	-0.113219349457881	1	143	52	0
"hsa04146:Peroxisome"	-0.113219349457881	1	143	74	0
"hsa00520:Amino sugar and nucleotide sugar metabolism"	-0.113219349457881	1	143	44	0
"hsa04260:Cardiac muscle contraction"	-0.113219349457881	1	143	74	0
"hsa05010:Alzheimer's disease"	-0.113219349457881	1	143	159	0
"hsa05012:Parkinson's disease"	-0.113219349457881	1	143	124	0
"hsa05016:Huntington's disease"	-0.113219349457881	1	143	173	0
"hsa03050:Proteasome"	-0.113219349457881	1	143	43	0
"hsa04940:Type I diabetes mellitus"	-0.113219349457881	1	143	42	0
"hsa05310:Asthma"	-0.113219349457881	1	143	31	0
"hsa05320:Autoimmune thyroid disease"	-0.113219349457881	1	143	52	0
"hsa05330:Allograft rejection"	-0.113219349457881	1	143	37	0
"hsa05332:Graft-versus-host disease"	-0.113219349457881	1	143	40	0
"hsa00563:Glycosylphosphatidylinositol(GPI)-anchor biosynthesis"	-0.113219349457881	1	143	25	0
"hsa00601:Glycosphingolipid biosynthesis - lacto and neolacto series"	-0.113219349457881	1	143	25	0
"hsa03410:Base excision repair"	-0.113219349457881	1	143	33	0
"hsa04120:Ubiquitin mediated proteolysis"	-0.113219349457881	1	143	133	0
"hsa00970:Aminoacyl-tRNA biosynthesis"	-0.113219349457881	1	143	38	0
"hsa02010:ABC transporters"	-0.113219349457881	1	143	43	0
"hsa03320:PPAR signaling pathway"	-0.113219349457881	1	143	69	0
"hsa03040:Spliceosome"	-0.113219349457881	1	143	117	0
"hsa00532:Glycosaminoglycan biosynthesis - chondroitin sulfate"	-0.113219349457881	1	143	22	0
"hsa05130:Pathogenic Escherichia coli infection"	-0.113219349457881	1	143	52	0
"hsa03440:Homologous recombination"	-0.113219349457881	1	143	28	0
"hsa03450:Non-homologous end-joining"	-0.113219349457881	1	143	13	0
"hsa00760:Nicotinate and nicotinamide metabolism"	-0.113219349457881	1	143	24	0
"hsa00310:Lysine degradation"	-0.113219349457881	1	143	46	0
"hsa04520:Adherens junction"	-0.113219349457881	1	143	72	0
"hsa00533:Glycosaminoglycan biosynthesis - keratan sulfate"	-0.113219349457881	1	143	15	0
"hsa04114:Oocyte meiosis"	-0.113219349457881	1	143	107	0
"hsa00510:N-Glycan biosynthesis"	-0.113219349457881	1	143	47	0
"hsa03018:RNA degradation"	-0.113219349457881	1	143	56	0
"hsa00240:Pyrimidine metabolism"	-0.113219349457881	1	143	94	0
"hsa03420:Nucleotide excision repair"	-0.113219349457881	1	143	43	0
"hsa04130:SNARE interactions in vesicular transport"	-0.113219349457881	1	143	35	0
"hsa04623:Cytosolic DNA-sensing pathway"	-0.113219349457881	1	143	54	0
"hsa05110:Vibrio cholerae infection"	-0.113219349457881	1	143	52	0
"hsa00603:Glycosphingolipid biosynthesis - globo series"	-0.113219349457881	1	143	14	0
"hsa00561:Glycerolipid metabolism"	-0.113219349457881	1	143	46	0
"hsa05216:Thyroid cancer"	-0.113219349457881	1	143	26	0
"hsa00270:Cysteine and methionine metabolism"	-0.113219349457881	1	143	34	0
"hsa00430:Taurine and hypotaurine metabolism"	-0.113219349457881	1	143	10	0
"hsa00920:Sulfur metabolism"	-0.113219349457881	1	143	12	0
"hsa04070:Phosphatidylinositol signaling system"	-0.113219349457881	1	143	75	0
"hsa04720:Long-term potentiation"	-0.113219349457881	1	143	68	0
"hsa00562:Inositol phosphate metabolism"	-0.113219349457881	1	143	56	0
"hsa00280:Valine, leucine and isoleucine degradation"	-0.113219349457881	1	143	44	0
"hsa04650:Natural killer cell mediated cytotoxicity"	-0.113219349457881	1	143	130	0
"hsa05014:Amyotrophic lateral sclerosis (ALS)"	-0.113219349457881	1	143	51	0
"hsa04916:Melanogenesis"	-0.113219349457881	1	143	99	0
"hsa04962:Vasopressin-regulated water reabsorption"	-0.113219349457881	1	143	44	0
"hsa04140:Regulation of autophagy"	-0.113219349457881	1	143	33	0
"hsa03030:DNA replication"	-0.113219349457881	1	143	36	0
"hsa00100:Steroid biosynthesis"	-0.113219349457881	1	143	17	0
"hsa00670:One carbon pool by folate"	-0.113219349457881	1	143	17	0
"hsa03020:RNA polymerase"	-0.113219349457881	1	143	28	0
"hsa03022:Basal transcription factors"	-0.113219349457881	1	143	34	0
"hsa00900:Terpenoid backbone biosynthesis"	-0.113219349457881	1	143	15	0
"hsa04330:Notch signaling pathway"	-0.113219349457881	1	143	47	0
"hsa03430:Mismatch repair"	-0.113219349457881	1	143	23	0
"hsa00040:Pentose and glucuronate interconversions"	-0.113219349457881	1	143	27	0
"hsa00053:Ascorbate and aldarate metabolism"	-0.113219349457881	1	143	25	0
"hsa00500:Starch and sucrose metabolism"	-0.113219349457881	1	143	49	0
"hsa00860:Porphyrin and chlorophyll metabolism"	-0.113219349457881	1	143	42	0
"hsa00450:Selenoamino acid metabolism"	-0.113219349457881	1	143	25	0
"hsa00630:Glyoxylate and dicarboxylate metabolism"	-0.113219349457881	1	143	16	0
"hsa04740:Olfactory transduction"	-0.113219349457881	1	143	357	0
"hsa00511:Other glycan degradation"	-0.113219349457881	1	143	16	0
"hsa00340:Histidine metabolism"	-0.113219349457881	1	143	28	0
"hsa00531:Glycosaminoglycan degradation"	-0.113219349457881	1	143	19	0
"hsa00120:Primary bile acid biosynthesis"	-0.113219349457881	1	143	16	0
"hsa03060:Protein export"	-0.113219349457881	1	143	23	0
"hsa01040:Biosynthesis of unsaturated fatty acids"	-0.113219349457881	1	143	21	0
"hsa00260:Glycine, serine and threonine metabolism"	-0.113219349457881	1	143	31	0
"hsa04742:Taste transduction"	-0.113219349457881	1	143	49	0
"hsa03010:Ribosome"	-0.113219349457881	1	143	87	0
"hsa00534:Glycosaminoglycan biosynthesis - heparan sulfate"	-0.113219349457881	1	143	25	0
"hsa00480:Glutathione metabolism"	-0.113219349457881	1	143	44	0
"hsa04614:Renin-angiotensin system"	-0.113219349457881	1	143	17	0
"hsa00250:Alanine, aspartate and glutamate metabolism"	-0.113219349457881	1	143	32	0
"hsa04744:Phototransduction"	-0.113219349457881	1	143	27	0
"hsa04710:Circadian rhythm - mammal"	-0.113219349457881	1	143	22	0
"hsa00020:Citrate cycle (TCA cycle)"	-0.113219349457881	1	143	30	0
"hsa04320:Dorso-ventral axis formation"	-0.113219349457881	1	143	24	0
"hsa00640:Propanoate metabolism"	-0.113219349457881	1	143	32	0
"hsa00360:Phenylalanine metabolism"	-0.113219349457881	1	143	16	0
"hsa00790:Folate biosynthesis"	-0.113219349457881	1	143	11	0
"hsa00410:beta-Alanine metabolism"	-0.113219349457881	1	143	22	0
"hsa00770:Pantothenate and CoA biosynthesis"	-0.113219349457881	1	143	16	0
"hsa00030:Pentose phosphate pathway"	-0.113219349457881	1	143	26	0
"hsa00052:Galactose metabolism"	-0.113219349457881	1	143	26	0
"hsa04960:Aldosterone-regulated sodium reabsorption"	-0.113219349457881	1	143	39	0
"hsa00604:Glycosphingolipid biosynthesis - ganglio series"	-0.113219349457881	1	143	14	0
"hsa00740:Riboflavin metabolism"	-0.113219349457881	1	143	16	0
