"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"hsa03020:RNA polymerase"	-0.550713539853811	1	1038	28	0
"hsa03022:Basal transcription factors"	-0.550713539853811	1	1038	34	0
"hsa00900:Terpenoid backbone biosynthesis"	-0.550713539853811	1	1038	15	0
"hsa00450:Selenoamino acid metabolism"	-0.550713539853811	1	1038	25	0
"hsa04740:Olfactory transduction"	-0.550713539853811	1	1038	357	0
"hsa00511:Other glycan degradation"	-0.550713539853811	1	1038	16	0
"hsa00120:Primary bile acid biosynthesis"	-0.550713539853811	1	1038	16	0
"hsa03060:Protein export"	-0.550713539853811	1	1038	23	0
"hsa01040:Biosynthesis of unsaturated fatty acids"	-0.550713539853811	1	1038	21	0
"hsa00910:Nitrogen metabolism"	-0.550713539853811	1	1038	21	0
"hsa00650:Butanoate metabolism"	-0.550713539853811	1	1038	30	0
"hsa04744:Phototransduction"	-0.550713539853811	1	1038	27	0
"hsa04320:Dorso-ventral axis formation"	-0.550713539853811	1	1038	24	0
"hsa00051:Fructose and mannose metabolism"	-0.550713539853811	1	1038	33	0
"hsa00030:Pentose phosphate pathway"	-0.550713539853811	1	1038	26	0
"hsa00052:Galactose metabolism"	-0.550713539853811	1	1038	26	0
"hsa00740:Riboflavin metabolism"	-0.550713539853811	1	1038	16	0
