"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"hsa04610:Complement and coagulation cascades"	0.333738788392929	0.641151900819548	2166	69	13
"hsa04114:Oocyte meiosis"	0.331155921410578	0.176082938477155	2166	107	25
"hsa04270:Vascular smooth muscle contraction"	0.325586614479885	0.580543870420989	2166	112	21
"hsa00630:Glyoxylate and dicarboxylate metabolism"	0.325586614479885	0.85909501167763	2166	16	3
"hsa00740:Riboflavin metabolism"	0.325586614479885	0.85909501167763	2166	16	3
"hsa04210:Apoptosis"	0.296132591491379	0.641151900819548	2166	87	16
"hsa04310:Wnt signaling pathway"	0.29284851924179	0.397242145472142	2166	150	30
"hsa04621:NOD-like receptor signaling pathway"	0.288086614479885	0.732927312228993	2166	60	11
"hsa04062:Chemokine signaling pathway"	0.283247904802466	0.482072966984902	2166	186	34
"hsa00532:Glycosaminoglycan biosynthesis - chondroitin sulfate"	0.274450250843522	0.85909501167763	2166	22	4
"hsa04916:Melanogenesis"	0.274450250843522	0.641151900819548	2166	99	18
"hsa00980:Metabolism of xenobiotics by cytochrome P450"	0.250026912987348	0.734595412553332	2166	67	12
"hsa04540:Gap junction"	0.226321908597532	0.641151900819548	2166	86	16
"hsa04614:Renin-angiotensin system"	0.226321908597532	0.878213574350645	2166	17	3
"hsa04510:Focal adhesion"	0.215406202108751	0.42228682160014	2166	197	37
"hsa04020:Calcium signaling pathway"	0.20785405634035	0.580543870420989	2166	173	31
"hsa05200:Pathways in cancer"	0.205333449922923	0.259772018617553	2166	322	61
"hsa00140:Steroid hormone biosynthesis"	0.166388501272338	0.732927312228993	2166	54	10
"hsa04530:Tight junction"	0.161163537556808	0.734595412553332	2166	130	22
"hsa04970:Salivary secretion"	0.156158903636512	0.802814132353062	2166	83	14
"hsa04670:Leukocyte transendothelial migration"	0.151360950763071	0.766847519962177	2166	113	19
"hsa04666:Fc gamma R-mediated phagocytosis"	0.138086614479885	0.732927312228993	2166	91	16
"hsa04920:Adipocytokine signaling pathway"	0.138086614479885	0.734595412553332	2166	67	12
"hsa03450:Non-homologous end-joining"	0.138086614479885	0.743267412285785	2166	13	3
"hsa00760:Nicotinate and nicotinamide metabolism"	0.138086614479885	0.896868346588874	2166	24	4
"hsa05144:Malaria"	0.138086614479885	0.85909501167763	2166	48	8
"hsa04914:Progesterone-mediated oocyte maturation"	0.119099272707733	0.412848636201562	2166	84	18
"hsa04360:Axon guidance"	0.114649114479885	0.802814132353062	2166	128	21
"hsa00830:Retinol metabolism"	0.113496450545459	0.85909501167763	2166	61	10
"hsa00500:Starch and sucrose metabolism"	0.107474369581926	0.85909501167763	2166	49	8
"hsa05219:Bladder cancer"	0.104302830696101	0.513850227192886	2166	40	9
"hsa02010:ABC transporters"	0.103202893549653	0.868927601421057	2166	43	7
"hsa04662:B cell receptor signaling pathway"	0.0975460739393446	0.85909501167763	2166	74	12
"hsa04720:Long-term potentiation"	0.0939689674210614	0.85909501167763	2166	68	11
"hsa00010:Glycolysis / Gluconeogenesis"	0.0896995177056914	0.85909501167763	2166	62	10
"hsa00562:Inositol phosphate metabolism"	0.0845151859084566	0.868927601421057	2166	56	9
"hsa04070:Phosphatidylinositol signaling system"	0.078086614479885	0.85909501167763	2166	75	12
"hsa00534:Glycosaminoglycan biosynthesis - heparan sulfate"	0.078086614479885	0.923064237014768	2166	25	4
"hsa04142:Lysosome"	0.0630866144798849	0.85909501167763	2166	120	19
"hsa05120:Epithelial cell signaling in Helicobacter pylori infection"	0.044336614479885	0.838197880339207	2166	65	11
"hsa04912:GnRH signaling pathway"	0.0298391917994726	0.852120957036007	2166	98	16
"hsa04810:Regulation of actin cytoskeleton"	0.0293909623059719	0.843708129702074	2166	208	33
"hsa05110:Vibrio cholerae infection"	0.0227019990952696	0.923064237014768	2166	52	8
"hsa00052:Galactose metabolism"	0.0227019990952696	0.94739601827525	2166	26	4
"hsa00510:N-Glycan biosynthesis"	-0.0214878536052214	0.95078377295979	2166	47	7
"hsa05214:Glioma"	-0.0299461724053609	0.784386094029666	2166	63	11
"hsa05100:Bacterial invasion of epithelial cells"	-0.038383973755409	0.951906300139506	2166	68	10
"hsa03022:Basal transcription factors"	-0.038383973755409	0.95833281677927	2166	34	5
"hsa04060:Cytokine-cytokine receptor interaction"	-0.0465287701354995	0.923064237014768	2166	261	39
"hsa05142:Chagas disease"	-0.0512337738696298	0.95833281677927	2166	103	15
"hsa05020:Prion diseases"	-0.0730244966312262	0.988213765089463	2166	35	5
"hsa05215:Prostate cancer"	-0.073222909329639	0.756241682524186	2166	87	15
"hsa00591:Linoleic acid metabolism"	-0.0761990998058295	0.988213765089463	2166	28	4
"hsa00604:Glycosphingolipid biosynthesis - ganglio series"	-0.0761990998058295	1	2166	14	2
"hsa04144:Endocytosis"	-0.096288385520115	0.923064237014768	2166	194	29
"hsa04640:Hematopoietic cell lineage"	-0.106099432031743	0.938349290336312	2166	87	13
"hsa04010:MAPK signaling pathway"	-0.119576220769157	0.988213765089463	2166	263	38
"hsa05014:Amyotrophic lateral sclerosis (ALS)"	-0.121717307088742	1	2166	51	7
"hsa05218:Melanoma"	-0.130852779459509	0.85909501167763	2166	68	11
"hsa03040:Spliceosome"	-0.131144154750884	1	2166	117	16
"hsa04710:Circadian rhythm - mammal"	-0.134640658247388	1	2166	22	3
"hsa05210:Colorectal cancer"	-0.137337114333674	0.756241682524186	2166	62	11
"hsa00970:Aminoacyl-tRNA biosynthesis"	-0.145697169303899	0.923064237014768	2166	38	6
"hsa05130:Pathogenic Escherichia coli infection"	-0.150374923981653	1	2166	52	7
"hsa00020:Citrate cycle (TCA cycle)"	-0.161913385520115	1	2166	30	4
"hsa05216:Thyroid cancer"	-0.177130776824463	0.620560252814587	2166	26	6
"hsa04623:Cytosolic DNA-sensing pathway"	-0.195246718853448	1	2166	54	7
"hsa04520:Adherens junction"	-0.22106831509758	1	2166	72	10
"hsa00511:Other glycan degradation"	-0.236913385520115	1	2166	16	2
"hsa00120:Primary bile acid biosynthesis"	-0.236913385520115	1	2166	16	2
"hsa04340:Hedgehog signaling pathway"	-0.236913385520115	1	2166	56	7
"hsa05322:Systemic lupus erythematosus"	-0.274001297608027	1	2166	91	11
"hsa04966:Collecting duct acid secretion"	-0.281913385520115	1	2166	25	3
"hsa00053:Ascorbate and aldarate metabolism"	-0.281913385520115	1	2166	25	3
"hsa05131:Shigellosis"	-0.294116775350624	1	2166	60	8
"hsa04730:Long-term depression"	-0.303089856108350	1	2166	68	8
"hsa05220:Chronic myeloid leukemia"	-0.314811936244753	0.996314874541584	2166	71	10
"hsa05221:Acute myeloid leukemia"	-0.323451847058577	0.95078377295979	2166	54	8
"hsa04130:SNARE interactions in vesicular transport"	-0.333341956948686	1	2166	35	4
"hsa05010:Alzheimer's disease"	-0.343045460991813	1	2166	159	18
"hsa00040:Pentose and glucuronate interconversions"	-0.361913385520115	1	2166	27	3
"hsa04744:Phototransduction"	-0.361913385520115	1	2166	27	3
"hsa05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	-0.375612015657101	1	2166	73	8
"hsa04514:Cell adhesion molecules (CAMs)"	-0.400081324451413	1	2166	131	14
"hsa04012:ErbB signaling pathway"	-0.408972209049527	1	2166	87	11
"hsa04910:Insulin signaling pathway"	-0.414544964467484	1	2166	134	15
"hsa05213:Endometrial cancer"	-0.438443997765013	0.923064237014768	2166	52	8
"hsa05223:Non-small cell lung cancer"	-0.456913385520115	1	2166	52	7
"hsa05211:Renal cell carcinoma"	-0.461913385520115	1	2166	70	7
"hsa04650:Natural killer cell mediated cytotoxicity"	-0.461913385520115	1	2166	130	13
"hsa04145:Phagosome"	-0.486913385520115	1	2166	144	14
"hsa00590:Arachidonic acid metabolism"	-0.4965287701355	1	2166	52	5
"hsa04962:Vasopressin-regulated water reabsorption"	-0.543731567338297	1	2166	44	4
"hsa05414:Dilated cardiomyopathy"	-0.552924621475171	1	2166	89	8
"hsa05416:Viral myocarditis"	-0.579304689867941	1	2166	70	7
"hsa03060:Protein export"	-0.579304689867941	1	2166	23	2
"hsa04080:Neuroactive ligand-receptor interaction"	-0.59239665689558	1	2166	269	23
"hsa04330:Notch signaling pathway"	-0.595955938711604	1	2166	47	4
"hsa04120:Ubiquitin mediated proteolysis"	-0.600374923981654	1	2166	133	14
"hsa04141:Protein processing in endoplasmic reticulum"	-0.616690455583809	1	2166	157	13
"hsa04672:Intestinal immune network for IgA production"	-0.627219507969095	1	2166	49	4
"hsa04370:VEGF signaling pathway"	-0.641913385520115	1	2166	75	6
"hsa00563:Glycosylphosphatidylinositol(GPI)-anchor biosynthesis"	-0.641913385520115	1	2166	25	2
"hsa04620:Toll-like receptor signaling pathway"	-0.649042098391402	1	2166	101	8
"hsa04630:Jak-STAT signaling pathway"	-0.651387069730641	1	2166	154	14
"hsa04150:mTOR signaling pathway"	-0.656031032578939	1	2166	51	4
"hsa04660:T cell receptor signaling pathway"	-0.695246718853448	1	2166	108	8
"hsa04940:Type I diabetes mellitus"	-0.719056242662972	1	2166	42	3
"hsa04622:RIG-I-like receptor signaling pathway"	-0.728110568618706	1	2166	71	5
"hsa05016:Huntington's disease"	-0.728222677268003	1	2166	173	14
"hsa03010:Ribosome"	-0.739946591139528	1	2166	87	6
"hsa04930:Type II diabetes mellitus"	-0.774956863780984	1	2166	46	3
"hsa04722:Neurotrophin signaling pathway"	-0.779252095197535	1	2166	124	8
"hsa04742:Taste transduction"	-0.81089297735685	1	2166	49	3
"hsa05340:Primary immunodeficiency"	-0.81645884006557	1	2166	33	2
"hsa04140:Regulation of autophagy"	-0.81645884006557	1	2166	33	2
"hsa05212:Pancreatic cancer"	-0.828825150225997	1	2166	70	6
"hsa05140:Leishmaniasis"	-0.861913385520115	1	2166	72	4
"hsa00592:alpha-Linolenic acid metabolism"	-0.861913385520115	1	2166	18	1
"hsa04260:Cardiac muscle contraction"	-0.875426899033628	1	2166	74	4
"hsa05330:Allograft rejection"	-0.875426899033628	1	2166	37	2
"hsa00531:Glycosaminoglycan degradation"	-0.8882291749938	1	2166	19	1
"hsa04664:Fc epsilon RI signaling pathway"	-0.894380917987648	1	2166	77	4
"hsa05332:Graft-versus-host disease"	-0.911913385520115	1	2166	40	2
"hsa05410:Hypertrophic cardiomyopathy (HCM)"	-0.922888995276213	1	2166	82	4
"hsa03050:Proteasome"	-0.943308734357324	1	2166	43	2
"hsa04612:Antigen processing and presentation"	-0.952822476429206	1	2166	66	3
"hsa04320:Dorso-ventral axis formation"	-0.970609037694028	1	2166	24	2
"hsa04950:Maturity onset diabetes of the young"	-0.986913385520115	1	2166	24	1
"hsa05320:Autoimmune thyroid disease"	-1.01575953936627	1	2166	52	2
"hsa05012:Parkinson's disease"	-1.14417145003624	1	2166	124	3
"hsa00190:Oxidative phosphorylation"	-1.21791338552011	1	2166	125	2
"hsa04740:Olfactory transduction"	-1.23550889113809	1	2166	357	6
"hsa05310:Asthma"	-1.36191338552012	1	2166	31	0
